,Rewards,Average reward
0,-119.25948404821733,-119.25948404821733
1,-319.96302057667015,-219.61125231244375
2,-400.94315970531255,-280.05522144340006
3,-133.7685737644003,-243.48355952365011
4,-131.0832425268348,-221.00349612428704
5,-109.48551497922162,-202.4171659334428
6,-341.82813132141257,-222.3330181317242
7,-293.20703342842427,-231.1922700438117
8,-117.90531803396013,-218.604830931606
9,-73.73814528255626,-204.118162366701
10,-292.05362109682994,-212.1122949785309
11,-270.61896746553987,-216.98785101911497
12,-533.2545751646483,-241.31606056877138
13,-190.20925872491893,-237.6655747227819
14,-103.66400598831417,-228.73213680715074
15,-135.06542986232432,-222.87796762309907
16,-249.58051709759633,-224.44870582748126
17,-94.02734332283518,-217.20307457722316
18,-72.96012088829283,-209.6113401725426
19,-102.73150403308881,-204.26734836556992
20,-106.82041070197782,-199.62701800063695
21,-118.5055937036827,-195.93968053259357
22,-59.405387388143296,-190.00340691761744
23,-143.62527833962417,-188.07098489353442
24,-96.10143655153573,-184.39220295985447
25,-200.32016146073312,-185.0048167483498
26,-250.49042155187507,-187.43020951885077
27,-138.9325239829613,-185.69814932114042
28,-153.68932814949488,-184.59439686694574
29,-38.77705148750857,-179.73381868763119
30,-133.46712735364034,-178.24134477363148
31,-48.21896779592656,-174.1781454930782
32,-154.2456745791112,-173.574131222958
33,-146.17618561186111,-172.76830929321986
34,-6.321730120970798,-168.0126927454413
35,-187.73574651683083,-168.56055535020212
36,-113.18161393491076,-167.0638272038429
37,-192.87016785004334,-167.74294143137448
38,-201.36044614358968,-168.6049287316877
39,-125.36646092959369,-167.52396703663536
40,-141.52146054032096,-166.88975956111548
41,-374.62024884324535,-171.8357235916424
42,-150.21964890257894,-171.3330241802688
43,-142.87587403210097,-170.68627076781047
44,-62.34372688245693,-168.27865868146927
45,-108.04987698754651,-166.96933734029705
46,-41.82100068700203,-164.30660677320566
47,-133.6563916625694,-163.6680606250674
48,-133.36192935766286,-163.0495681502224
49,-85.50515304612128,-161.49867984814037
50,-100.10184497313757,-160.29482034078737
51,-105.95876943976357,-159.24989628499847
52,-105.37652258422571,-158.2334175359273
53,-101.01687544024269,-157.17385194156273
54,-112.1337281799848,-156.35494060044314
55,-70.90848535455689,-154.8291110424809
56,-49.518063040156306,-152.98154879682605
57,-16.6716586584822,-150.63137827719945
58,-79.72387971478994,-149.42955626766707
59,-65.98724882749208,-148.03885114366415
60,-97.6177035478833,-147.2122749535694
61,-73.42657845355032,-146.02218307453683
62,-26.592656647754694,-144.12647630585775
63,-84.54572958854098,-143.19552713839968
64,-42.638283820333825,-141.64849262581404
65,-131.83789407192768,-141.49984719317942
66,-150.7143594184911,-141.63737722639303
67,-42.60908161763394,-140.18107876155835
68,-108.68188493573145,-139.72456870611157
69,-67.66320141380314,-138.69512060193574
70,-81.99155993212563,-137.89647890236094
71,-69.62459437942768,-136.94825828398686
72,-119.25706921627233,-136.70591322826473
73,-126.49999802211819,-136.56799545520872
74,-30.23809170343452,-135.15026340518506
75,-15.655014558749315,-133.5779574993109
76,-36.76422793725325,-132.32063633616733
77,-119.32289924093911,-132.1539986811003
78,-62.95168874719883,-131.278020074342
79,-99.02952780388077,-130.87491392096123
80,-13.985128185534492,-129.4318301464498
81,3.8900996693388237,-127.80595295357433
82,-86.73959382020499,-127.3111775423289
83,-56.04976166764097,-126.46282735334452
84,-58.58614399732793,-125.66427813739139
85,-41.685003688543475,-124.68777494612571
86,-90.3130231056116,-124.29266285600485
87,-114.98004899642724,-124.18683769850969
88,-66.3085706327025,-123.5365200910287
89,-85.35472694338799,-123.11227794494381
90,-52.76747039473652,-122.3392580817547
91,-15.593479363692609,-121.17897787829752
92,-83.47317406222611,-120.77353912758709
93,-90.62424577082868,-120.45280196421731
94,3.6167367557515036,-119.14680681979658
95,-10.815497906558349,-118.01835568528368
96,-23.321925070804582,-117.04210382327874
97,-124.9111249222249,-117.12239995694145
98,-50.08550914496752,-116.44525964570938
99,-53.28933272294353,-115.81370037648172
100,-69.3554663388098,-115.31466019938763
101,-85.18967920619724,-112.96692678568293
102,-75.17123914583205,-109.70920758008813
103,-80.93655441713045,-109.18088738661544
104,-116.79339558434769,-109.03798891719057
105,11.72950832406491,-107.8258386841577
106,-58.926112958949524,-104.99681850053308
107,-79.40530133749868,-102.85880117962381
108,-74.81237364294788,-102.42787173571371
109,10.65517239953742,-101.58393855889275
110,-142.30496107095246,-100.08645195863397
111,14.88464430921438,-97.23141584088643
112,-84.0384272799429,-92.73925436203938
113,-25.38569607938898,-91.0910187355841
114,-70.67019052770198,-90.76108058097797
115,-111.39214146204307,-90.52434769697517
116,-125.75044872668944,-89.28604701326607
117,-170.5451049458528,-90.05122462949625
118,-59.635724811913505,-89.91798066873247
119,-19.461335942481824,-89.08527898782637
120,-208.24447887244236,-90.09951966953103
121,-35.55938730791608,-89.27005760557337
122,-49.023673871057355,-89.16624047040251
123,98.67479001333848,-86.74323978687289
124,-80.75434543198449,-86.58976887567736
125,-52.302374292316365,-85.10959100399319
126,-13.450294965888347,-82.73918973813333
127,-46.34394054027371,-81.81330390370645
128,-25.17283218016965,-80.52813894401321
129,-74.81444867852055,-80.88851291592333
130,-35.563903707230054,-79.90948067945922
131,-84.217822573405,-80.269469227234
132,-55.537090024119934,-79.2823833816841
133,5.4322707159260375,-77.76629881840623
134,7.323081269023177,-77.62985070450628
135,-61.469804904521794,-76.3671912883832
136,-204.72574472836436,-77.28263259631774
137,-65.62475231506332,-76.01017844096793
138,-15.606484194288797,-74.15263882147492
