,Rewards,Average reward
0,-12,-12.0
1,-14,-13.0
2,-12,-12.666666666666666
3,-14,-13.0
4,-14,-13.2
5,-14,-13.333333333333334
6,-14,-13.428571428571429
7,-15,-13.625
8,-15,-13.777777777777779
9,-13,-13.7
10,-13,-13.636363636363637
11,-11,-13.416666666666666
12,-11,-13.23076923076923
13,-13,-13.214285714285714
14,-14,-13.266666666666667
15,-12,-13.1875
16,-15,-13.294117647058824
17,-13,-13.277777777777779
18,-13,-13.263157894736842
19,-13,-13.25
20,-14,-13.285714285714286
21,-13,-13.272727272727273
22,-11,-13.173913043478262
23,-14,-13.208333333333334
24,-11,-13.12
25,-13,-13.115384615384615
26,-11,-13.037037037037036
27,-8,-12.857142857142858
28,-12,-12.827586206896552
29,-13,-12.833333333333334
30,-13,-12.838709677419354
31,0,-12.4375
32,-12,-12.424242424242424
33,-13,-12.441176470588236
34,-13,-12.457142857142857
35,-13,-12.472222222222221
36,-14,-12.513513513513514
37,-13,-12.526315789473685
38,-12,-12.512820512820513
39,-14,-12.55
40,-11,-12.512195121951219
41,-11,-12.476190476190476
42,-12,-12.465116279069768
43,-13,-12.477272727272727
44,-13,-12.488888888888889
45,-13,-12.5
46,-14,-12.53191489361702
47,-13,-12.541666666666666
48,-12,-12.53061224489796
49,-12,-12.52
50,-11,-12.490196078431373
51,-14,-12.51923076923077
52,-13,-12.528301886792454
53,-13,-12.537037037037036
54,-14,-12.563636363636364
55,-13,-12.571428571428571
56,-15,-12.614035087719298
57,-13,-12.620689655172415
58,0,-12.40677966101695
59,-13,-12.416666666666666
60,-11,-12.39344262295082
61,-13,-12.403225806451612
62,-12,-12.396825396825397
63,-14,-12.421875
64,-13,-12.430769230769231
65,-14,-12.454545454545455
66,-14,-12.477611940298507
67,-13,-12.485294117647058
68,-11,-12.46376811594203
69,-14,-12.485714285714286
70,-13,-12.492957746478874
71,-13,-12.5
72,-12,-12.493150684931507
73,-13,-12.5
74,-10,-12.466666666666667
75,-11,-12.447368421052632
76,-11,-12.428571428571429
77,-14,-12.448717948717949
78,-15,-12.481012658227849
79,-13,-12.4875
80,-12,-12.481481481481481
81,-14,-12.5
82,-12,-12.493975903614459
83,-12,-12.488095238095237
84,-13,-12.494117647058824
85,-12,-12.488372093023257
86,-14,-12.505747126436782
87,-14,-12.522727272727273
88,-14,-12.539325842696629
89,-13,-12.544444444444444
90,-9,-12.505494505494505
91,-12,-12.5
92,-15,-12.526881720430108
93,-11,-12.51063829787234
94,-13,-12.51578947368421
95,-13,-12.520833333333334
96,-15,-12.54639175257732
97,-14,-12.561224489795919
98,-14,-12.575757575757576
99,-9,-12.54
100,-14,-12.56
101,-12,-12.54
102,-14,-12.56
103,-9,-12.51
104,-15,-12.52
105,-15,-12.53
106,-13,-12.52
107,-12,-12.49
108,-12,-12.46
109,-13,-12.46
110,-13,-12.46
111,-13,-12.48
112,-14,-12.51
113,-15,-12.53
114,-13,-12.52
115,-13,-12.53
116,-12,-12.5
117,-9,-12.46
118,-11,-12.44
119,-15,-12.46
120,-9,-12.41
121,-15,-12.43
122,-11,-12.43
123,-14,-12.43
124,-14,-12.46
125,-14,-12.47
126,-15,-12.51
127,-12,-12.55
128,-11,-12.54
129,-14,-12.55
130,-12,-12.54
131,-15,-12.69
132,-13,-12.7
133,-8,-12.65
134,-10,-12.62
135,-15,-12.64
136,-8,-12.58
137,-12,-12.57
138,-12,-12.57
139,-10,-12.53
140,-14,-12.56
141,-12,-12.57
142,-13,-12.58
143,-14,-12.59
144,-12,-12.58
145,-12,-12.57
146,-12,-12.55
147,-9,-12.51
148,-12,-12.51
149,-11,-12.5
150,-11,-12.5
151,-15,-12.51
152,-15,-12.53
153,-13,-12.53
154,-11,-12.5
155,-11,-12.48
156,-14,-12.47
157,-15,-12.49
158,-14,-12.63
159,-11,-12.61
160,-9,-12.59
161,-11,-12.57
162,-13,-12.58
163,-11,-12.55
164,-12,-12.54
165,-13,-12.53
166,-14,-12.53
167,-14,-12.54
168,-12,-12.55
169,-13,-12.54
170,-13,-12.54
171,-14,-12.55
172,-14,-12.57
173,-10,-12.54
174,-12,-12.56
175,-14,-12.59
176,-7,-12.55
177,-11,-12.52
178,-12,-12.49
179,-15,-12.51
180,-9,-12.48
181,-11,-12.45
182,-15,-12.48
183,-14,-12.5
184,-11,-12.48
185,-14,-12.5
186,-12,-12.48
187,-12,-12.46
188,-14,-12.46
189,-13,-12.46
190,-15,-12.52
191,-13,-12.53
192,-14,-12.52
193,-13,-12.54
194,-14,-12.55
195,-15,-12.57
196,-15,-12.57
197,-11,-12.54
198,-12,-12.52
199,-13,-12.56
200,-14,-12.56
201,-15,-12.59
202,-15,-12.6
203,-14,-12.65
204,-11,-12.61
205,-13,-12.59
206,-14,-12.6
207,-12,-12.6
208,-12,-12.6
209,-13,-12.6
210,-10,-12.57
211,-11,-12.55
212,-8,-12.49
213,-14,-12.48
214,-11,-12.46
215,-14,-12.47
216,-13,-12.48
217,-12,-12.51
218,-10,-12.5
219,-12,-12.47
220,-15,-12.53
221,-9,-12.47
222,-15,-12.51
223,-8,-12.45
224,-15,-12.46
225,-3,-12.35
226,-14,-12.34
227,-10,-12.32
228,-13,-12.34
229,-9,-12.29
230,-12,-12.29
231,-12,-12.26
232,-14,-12.27
233,-9,-12.28
234,-11,-12.29
235,-8,-12.22
236,-12,-12.26
237,-13,-12.27
238,-9,-12.24
239,-12,-12.26
240,-10,-12.22
241,-12,-12.22
242,-11,-12.2
243,-12,-12.18
244,-13,-12.19
245,-13,-12.2
246,-14,-12.22
247,-14,-12.27
248,-14,-12.29
249,-12,-12.3
250,-14,-12.33
251,-13,-12.31
252,-12,-12.28
253,-15,-12.3
254,-12,-12.31
255,-14,-12.34
256,-10,-12.3
257,-12,-12.27
258,-14,-12.27
259,-14,-12.3
260,-14,-12.35
261,-13,-12.37
262,-12,-12.36
263,-11,-12.36
264,-12,-12.36
265,-10,-12.33
266,-11,-12.3
267,-11,-12.27
268,-11,-12.26
269,-9,-12.22
270,-10,-12.19
271,-10,-12.15
272,-13,-12.14
273,-10,-12.14
274,-15,-12.17
275,-13,-12.16
276,-11,-12.2
277,-10,-12.19
278,-15,-12.22
279,-12,-12.19
280,-12,-12.22
281,-14,-12.25
282,-13,-12.23
283,-12,-12.21
284,-12,-12.22
285,-11,-12.19
286,-6,-12.13
287,-9,-12.1
288,-12,-12.08
289,-14,-12.09
290,-11,-12.05
291,-12,-12.04
292,-13,-12.03
293,-12,-12.02
294,-14,-12.02
295,-9,-11.96
296,-10,-11.91
297,-13,-11.93
298,-11,-11.92
299,-14,-11.93
300,-12,-11.91
301,-12,-11.88
302,-10,-11.83
303,-11,-11.8
304,-12,-11.81
305,-7,-11.75
306,-14,-11.75
307,-10,-11.73
308,-12,-11.73
309,-11,-11.71
310,-13,-11.74
311,-13,-11.76
312,-13,-11.81
313,-13,-11.8
314,-11,-11.8
315,-10,-11.76
316,-11,-11.74
317,-12,-11.74
318,-12,-11.76
319,-14,-11.78
320,-14,-11.77
321,-12,-11.8
322,-15,-11.8
323,-11,-11.83
324,-12,-11.8
325,-14,-11.91
326,-13,-11.9
327,-14,-11.94
328,-15,-11.96
329,-10,-11.97
330,-11,-11.96
331,-12,-11.96
332,-10,-11.92
333,-11,-11.94
334,-12,-11.95
335,-10,-11.97
336,-9,-11.94
337,-10,-11.91
338,-13,-11.95
339,-10,-11.93
340,-10,-11.93
341,-11,-11.92
342,-9,-11.9
343,-8,-11.86
344,-13,-11.86
345,-13,-11.86
346,-12,-11.84
347,-12,-11.82
348,-8,-11.76
349,-14,-11.78
350,-10,-11.74
351,-14,-11.75
352,-13,-11.76
353,-8,-11.69
354,-10,-11.67
355,-13,-11.66
356,-14,-11.7
357,-13,-11.71
358,-13,-11.7
359,-10,-11.66
360,-12,-11.64
361,-8,-11.59
362,-10,-11.57
363,-10,-11.56
364,-11,-11.55
365,-12,-11.57
366,-13,-11.59
367,-12,-11.6
368,-12,-11.61
369,-11,-11.63
370,-12,-11.65
371,-13,-11.68
372,-13,-11.68
373,-14,-11.72
374,-13,-11.7
375,-14,-11.71
376,-10,-11.7
377,-13,-11.73
378,-12,-11.7
379,-12,-11.7
380,0,-11.58
381,-13,-11.57
382,-12,-11.56
383,-13,-11.57
384,-9,-11.54
385,-14,-11.57
386,-12,-11.63
387,-15,-11.69
388,-9,-11.66
389,-11,-11.63
390,-12,-11.64
391,-12,-11.64
392,-12,-11.63
393,-12,-11.63
394,-12,-11.61
395,-10,-11.62
396,-12,-11.64
397,-13,-11.64
398,-11,-11.64
399,-15,-11.65
400,-9,-11.62
401,-14,-11.64
402,-12,-11.66
403,-11,-11.66
404,-15,-11.69
405,-9,-11.71
406,-13,-11.7
407,-15,-11.75
408,-10,-11.73
409,-10,-11.72
410,-13,-11.72
411,-9,-11.68
412,-11,-11.66
413,-15,-11.68
414,-11,-11.68
415,-14,-11.72
416,-13,-11.74
417,-8,-11.7
418,-12,-11.7
419,-11,-11.67
420,-14,-11.67
421,-9,-11.64
422,-10,-11.59
423,-11,-11.59
424,-14,-11.61
425,-13,-11.6
426,-14,-11.61
427,-11,-11.58
428,-13,-11.56
429,-13,-11.59
430,0,-11.48
431,-10,-11.46
432,-14,-11.5
433,-10,-11.49
434,-13,-11.5
435,-11,-11.51
436,-13,-11.55
437,-14,-11.59
438,-12,-11.58
439,-13,-11.61
440,-13,-11.64
441,-12,-11.65
442,-9,-11.65
443,-8,-11.65
