,Rewards,Average reward
0,-266.75047602631685,-266.75047602631685
1,-126.51778552013312,-196.63413077322497
2,35.952268653302525,-119.10533096438246
3,-79.41264297366125,-109.18215896670216
4,-246.69154391359478,-136.6840359560807
5,-335.57191072962826,-169.83201508500528
6,-133.3761281244872,-164.62403123350273
7,-55.52225522291651,-150.98630923217942
8,-255.09756065555547,-162.554226056999
9,-67.41036398500168,-153.03983984979925
10,-97.96106712512807,-148.03267869301095
11,-435.02659540238795,-171.94883841879235
12,-111.87413818433474,-167.32770763152638
13,-305.32552422837796,-177.18469453130152
14,-181.05541958137638,-177.44274286797318
15,-95.93972936054055,-172.34880452375864
16,-95.84726883194355,-167.848714188946
17,-45.46459004300024,-161.04959618083788
18,-115.03335780657945,-158.62768889798215
19,-147.17613489252824,-158.05511119770946
20,-73.99179107947174,-154.05209595398387
21,-144.1481925944773,-153.60191852855175
22,-366.2677242828333,-162.84825790917267
23,-111.44068606139476,-160.70627574884864
24,-180.97541036765952,-161.51704113360108
25,6.228981346341911,-155.06527103821867
26,-100.27136427252705,-153.03586708393377
27,-257.8964809033333,-156.78088900605516
28,-199.8108480914756,-158.26468069865587
29,-96.35153617394685,-156.2009092144989
30,-40.11932796244886,-152.45634207733596
31,-128.45990014084103,-151.70645326682052
32,-150.72972613670385,-151.6768554749988
33,-262.0412504204596,-154.92286709104178
34,-97.38935746759003,-153.27905253037173
35,-106.61665747476749,-151.98287488993827
36,-198.83016556018856,-153.24901788102613
37,-114.05089265662922,-152.2174882698578
38,-102.0234936627935,-150.93046276711254
39,-296.9748658287177,-154.58157284365268
40,-236.7696548901914,-156.58616021064142
41,-96.92218694342264,-155.1655894185648
42,0.2778787309691779,-151.55062504299423
43,-108.12410798268593,-150.56365874616904
44,-109.30090142563591,-149.64670858349052
45,-131.99860701067868,-149.26305420147287
46,-230.93165150172118,-151.0006839312654
47,-156.5488896815028,-151.116271551062
48,-111.73857717639473,-150.31264513525247
49,-106.52145347555289,-149.4368213020585
50,7.034587848772404,-146.36875445596377
51,-211.06909469729797,-147.61299176829712
52,-154.86475687439977,-147.74981752501603
53,-51.97774117927215,-145.9762605556504
54,-72.07256214130605,-144.63255694811687
55,-81.96096323146388,-143.51342134603377
56,-40.2762531914412,-141.7022429573567
57,-89.44274671436234,-140.80121716006371
58,-75.95598441030178,-139.7021454185423
59,-143.39397617588816,-139.76367593116476
60,-105.29626692926699,-139.19863643933036
61,-61.31253128882513,-137.94240893690286
62,-37.988427146647,-136.355837797375
63,-95.13671185416871,-135.71178895451237
64,-79.24615571967729,-134.84308690474566
65,-82.23743647086263,-134.0460315951414
66,-121.80016147221738,-133.86325741420222
67,-239.21861527800985,-135.41260091219942
68,-88.43149622952681,-134.73171533708822
69,-103.9691339160523,-134.29224988821628
70,-348.8221467127347,-137.31379773081514
71,-93.90390228297557,-136.7108825162618
72,-140.2610318983294,-136.75951469957778
73,-82.49186800791541,-136.02616812266342
74,-148.8245929577199,-136.19681378713085
75,-104.79605041232887,-135.78364584798874
76,-186.00558576650462,-136.4358788339435
77,-114.05300434728612,-136.14891890462738
78,-87.46151473138508,-135.53262264926988
79,-92.64961464842001,-134.99658504925924
80,-106.11334399805865,-134.6400018264049
81,13.540778815843879,-132.83291913564577
82,7.759124032777152,-131.139039097472
83,-38.45055159740026,-130.03560472247113
84,-180.4969452362538,-130.62926755204504
85,-86.64247083597522,-130.11779317162564
86,-54.71387103158316,-129.2510814228895
87,-17.301603237785685,-127.97892826169517
88,-91.60722418772303,-127.57025742940334
89,-91.95431868649888,-127.17452477670442
90,21.399030349774414,-125.54184834674311
91,-52.43571729750685,-124.74721648751229
92,-67.70212538482807,-124.13382841113935
93,-50.95858923439716,-123.3553684198974
94,-74.68287987663415,-122.84302643523148
95,-95.99801277476678,-122.56339087626829
96,13.771016039337269,-121.15788152662286
97,-119.22255971629046,-121.13813334488478
98,-121.85519003962634,-121.14537634180137
99,-87.06987834668875,-120.80462136185024
100,-87.98997325257899,-119.01701633411287
101,-83.5357997425237,-118.58719647633677
102,-62.59949529459867,-119.57271411581578
103,-30.52988382745923,-119.08388652435377
104,-35.776709492432914,-116.97473818014214
105,-78.6720787744626,-114.40573986059049
106,-56.86576256541788,-113.64063620499981
107,-127.35338480097903,-114.35894750078042
108,-69.74274281731815,-112.50539932239806
109,-131.444440644307,-113.14574008899109
110,-33.57457308331618,-112.50187514857298
111,-91.90923458408339,-109.07070154038993
112,-81.34911675162489,-108.76545132606283
113,-61.1481476088793,-106.32367755986785
114,-49.01112463224837,-105.00323461037657
115,-35.90409527289134,-104.40287826950006
116,-82.43970020305645,-104.26880258321121
117,29.616599035305114,-103.51799069242814
118,-70.37111380010957,-103.07136825236344
119,-103.58816194235567,-102.63548852286172
120,-94.52541221489395,-102.84082473421594
121,-28.967121370571903,-101.68901402197689
122,-24.684350971364807,-98.27318028886222
123,-259.91316572436006,-99.75790508549186
124,59.239955016085105,-97.35575143165441
125,-163.0885558376719,-99.04892680349454
126,-53.12421611356408,-98.5774553219049
127,-87.37071704117427,-96.87219768328332
128,-46.955341976146926,-95.34364262213003
129,0.2130497191637204,-94.37799676319894
130,-9.07874508236715,-94.0675909343981
131,-36.856338386655835,-93.15155531685626
132,-37.649548469945415,-92.02075354018871
133,59.70473910650577,-88.80329364491904
134,-3.1412644409834485,-87.86081271465297
135,-41.50831502062417,-87.20972929011151
136,-164.13465775282424,-86.86277421203788
137,29.2069250947616,-85.43019603452396
138,32.174697625434845,-84.08821412164168
139,-19.61723397020447,-81.31463780305654
140,-15.81926925158136,-79.10513394667046
141,-66.4065774611741,-78.79997785184798
142,-115.02033360818433,-79.95295997523951
143,-7.317548529633939,-78.94489438070899
144,6.34434484216186,-77.78844191803101
145,-14.349324399645994,-76.61194909192068
146,-83.21144726461567,-75.13474704954963
147,-29.070805949781743,-73.85996621223241
148,-66.80688736415078,-73.41064931410997
149,-13.300629027438234,-72.47844106962883
150,-60.634744819357905,-73.15513439631015
151,39.30701199890405,-70.65137332934812
152,20.859282390580635,-68.89413293669831
153,-7.805374865287513,-68.45240927355847
154,-82.2022120176368,-68.55370577232178
155,-42.01594068616008,-68.15425554686874
156,-183.80812594814904,-69.5895742744358
157,20.983398122761955,-68.48531282606457
158,-4.686144937483622,-67.7726144313364
159,-17.274657434987546,-66.51142124392737
160,-44.35787389300209,-65.90203731356472
161,13.049232972646891,-65.15841967095001
162,4.6690221409511565,-64.73184517807404
163,-81.2803326971609,-64.59328138650396
164,-52.22449088567812,-64.32306473816396
165,29.15036403189389,-63.209186733136406
166,-42.93508991542846,-62.42053601756851
167,-41.20648329352191,-60.44041469772364
168,-45.213781118089244,-60.00823754660925
169,-8.479781853296458,-59.053344025981694
170,-249.23040706205444,-58.0574266294749
171,-24.2084772418106,-57.36047237906324
172,35.81091465053353,-55.599752913574605
173,-28.621681100217387,-55.06105104449764
174,46.99272845261555,-53.10287783039427
175,-70.90445738438645,-52.763961900114865
176,-25.628084113847592,-51.160186883588295
177,28.137537436139507,-49.73828146575403
178,-15.389813622933566,-49.01756445466952
179,19.507940133048947,-47.895988906854825
180,-43.79634007967698,-47.272818867671006
181,-4.041863117720449,-47.448645287006656
182,-0.11102546459389662,-47.52734678198037
183,43.231399284427404,-46.710527273162086
184,-259.0951966412853,-47.49650978721239
185,-43.13590090141919,-47.06144408786683
186,-127.98786258591502,-47.794184003410145
187,-17.0210053706233,-47.79137802473852
188,46.9630934721433,-46.40567484813986
189,-122.21407581548652,-46.70827241942974
190,-46.99932901950456,-47.39225601312253
191,-67.51459220546778,-47.543044762202136
192,8.502861946597585,-46.78099488888789
193,-1.5107948523608599,-46.28651694506753
194,31.050155468006803,-45.22918659162112
195,-4.018005221332139,-44.30938651608676
196,-14.285890658018964,-44.58995558306033
197,-210.2348672242663,-45.50007865814008
198,41.605547809148355,-43.865471279652326
199,26.690085958958186,-42.72787163659587
200,10.307235817589913,-41.744899545894185
201,-252.06658758369002,-43.43020742430585
202,45.40341361059418,-42.35017833525392
203,28.968647799758372,-41.75519301898174
204,10.46983796296597,-41.29272754442776
205,-193.9439613584854,-42.44544637026798
206,21.094489383710187,-41.6658438507767
207,20.099259946794618,-40.19131740329897
208,-6.4047795943901775,-39.55793777106969
209,-23.124675585189564,-38.474740120478515
210,43.31364150884129,-37.70585797455694
211,-206.17691886715954,-38.8485348173877
212,-106.71229963781505,-39.1021666462496
213,54.478197872100786,-37.945903191439804
214,12.93435458543698,-37.326448399262944
215,-133.1379984226016,-38.29878743076004
216,61.92582337855228,-36.855132194943955
217,29.40005638460853,-36.857297621450925
218,60.898530128584206,-35.54460118216399
219,47.74688998034331,-34.031250662937
220,62.49933874449882,-32.46100315334307
221,14.544780977178869,-32.02588412986556
222,51.66496487150647,-31.262390971436847
223,81.81303749531932,-27.845128939240052
224,111.53703005485518,-27.322158188852356
225,110.81282841558483,-24.583144346319788
226,69.26266222719595,-23.359275562912188
227,86.66463378434767,-21.618922054656963
228,64.50901706522325,-20.50427846424326
229,67.65481176294462,-19.82986084380546
230,-23.848893473208786,-19.977562327713873
231,68.1899424925102,-18.927099518922216
232,114.67332154664052,-17.403870818756353
233,63.96846653636673,-17.361233544457743
234,134.53788135045383,-15.984442086543373
235,100.0830770101777,-14.568528166235353
236,89.7559339377893,-12.02962224932922
237,111.15417554508205,-11.210149744826015
238,153.76145399293017,-9.994282181151064
239,124.04584886173717,-8.557651352831645
240,125.43257263954901,-7.145132933920341
241,135.44293625877063,-5.126637796720895
242,87.54157423680357,-3.1010187182710167
243,-15.367963372640062,-3.1815228667010764
244,-383.47225707587864,-7.079688885881483
245,113.89467185070825,-5.797248923377939
246,137.37433908542576,-3.591391059877525
247,65.29661886642856,-2.6477168117154206
248,101.7350253807746,-0.9622976842661675
249,34.359918769172026,-0.48569220630006527
250,120.30279880323342,1.323683229925848
251,256.2907087305203,3.4935201972420113
252,124.69255326775814,4.531852906013785
253,73.97060867149045,5.3496127413815655
254,140.6473879078118,7.57810874063605
255,54.35601015926735,8.541828249090326
256,119.74136359963936,11.577323144568208
257,163.4716581092244,13.002205744432834
258,111.39875559550092,14.163054749762678
259,106.67581613007164,15.402559485413267
260,110.74156543903185,16.95355387873361
261,119.32509403396816,18.016312489346824
262,-172.21021710575292,16.247520096879782
263,135.7216833178553,18.417540257029945
264,-4.321974921315146,18.896565416673578
265,101.87346539624664,19.623796430317103
266,83.26281052168166,20.885775434688203
267,125.24261830691336,22.550266450692558
268,139.22374655126566,24.394641727386105
269,-6.328938291711334,24.41615016300195
270,173.80223427396524,28.64647657636215
271,153.2692472540494,30.42125382132075
272,117.02135077852603,31.23335818260068
273,138.65361430735788,32.90611113667643
274,157.6799960751833,34.0129838129021
275,226.473604863662,36.9867644353826
276,147.21014177077694,38.715146694228835
277,75.01662871483835,39.18393760701583
278,122.34566386689474,40.56129238191411
279,103.53787707966461,41.401591751380266
280,94.40149845547762,42.78357013673181
281,103.83814746929302,43.862370242601955
282,237.1667846230867,46.23514834347875
283,251.11728398172409,48.31400719045172
284,92.98571613747457,51.83481631823932
285,95.26688453758514,53.21884417262936
286,258.0625984752974,57.079348783241485
287,209.43778003307307,59.34393663727846
288,158.00910918801983,60.454396794437216
289,121.0011268805126,62.88654882139722
290,122.92974979545995,64.58583960954685
291,197.16711876694472,67.23265671927098
292,149.0562984712934,68.63819108451794
293,153.46531081923465,70.1879521412339
294,154.73851330015938,71.42483571955542
295,93.56730247416137,72.40068879651035
296,135.77076348657224,73.90125533795626
297,248.40621297410232,78.48766613993995
298,108.7574464528216,79.15918512637668
299,104.3180011312142,79.93546427809923
300,130.72949999867984,81.13968691991013
301,231.43526426449705,85.97470543839201
302,47.43140582812072,85.9949853605673
303,136.398460842709,87.06928349099681
304,156.06167946762932,88.52520190604342
305,240.4213686392262,92.86885520602054
306,133.25568533267264,93.99046716551018
307,129.1452366970143,95.08092693301238
308,277.29002070961235,97.91787493605237
309,273.12203460640285,100.88034203796829
310,242.39179300214457,102.87112355290134
311,147.2590241177907,106.40548298275085
312,-65.13795500916935,106.82122642903732
313,118.81984515266112,107.46464290184291
314,-15.699080644835732,107.17830854954016
315,268.9246490061455,111.19893502382762
316,150.2642675621507,112.0823194656636
317,88.14563479544688,112.66977524977199
318,158.32082467047536,113.6439981951909
319,54.79718272281579,113.71450112261564
320,126.34436054269263,114.35295134059757
321,105.46968497478612,115.26220038057367
322,-41.26610611920002,114.33288967066659
323,229.7864295003215,115.81262359071663
324,242.88420829657395,117.12609537313381
325,132.65829969775515,117.34455008595552
326,242.18193658790406,119.0737428295626
327,120.46956641487716,119.41179215586789
328,-158.78025184112738,117.17889946680435
329,257.49733606121947,119.07732470978712
330,251.04434177182097,121.82625706223742
331,299.3537304531764,124.13789494184408
332,122.04789258483908,124.21164065222607
333,300.31855639055436,126.57514155076792
334,243.86553796082677,127.66841811687165
335,133.93237518792742,128.00691109864914
336,146.53987874725277,128.5747505467438
337,257.6745315247524,130.0399541065405
338,218.57877372819513,130.68812730389317
339,118.0474220490392,130.62814303576616
340,277.5789135219331,132.14960644459003
341,154.2731989776532,132.33790907177885
342,227.88869548365946,133.7413802842474
343,293.632115226249,136.83138107023632
344,242.3228468040204,143.0893321090353
345,256.5056085763876,144.51544147629207
346,123.07036021521391,144.37240168758998
347,245.0520187541455,146.16995568646712
348,137.92932498873557,146.53189868254677
349,270.3845314769884,148.8921448096249
350,267.2487465591863,150.3616042871844
351,267.22618504832747,150.4709590503625
352,118.99406846705477,150.41397420235546
353,252.48250357997685,152.1990931514403
354,226.1702130136312,153.05432140249854
355,149.22521014247198,154.00301340233057
356,236.02860429562756,155.16588580929047
357,263.8705132763565,156.16987436096178
358,258.63172696970787,157.64220407470387
359,228.85464228336028,158.86399233623672
360,210.7457346627142,159.86403402847358
361,283.44463379400196,161.50522942607392
362,145.3826493638217,164.68115809076963
363,261.9569682648746,165.94351094023986
364,263.6619217079911,168.62334990653292
