,Rewards,Average reward
0,-14,-14.0
1,-13,-13.5
2,-12,-13.0
3,-14,-13.25
4,-15,-13.6
5,-13,-13.5
6,-13,-13.428571428571429
7,-15,-13.625
8,-12,-13.444444444444445
9,-14,-13.5
10,-12,-13.363636363636363
11,-12,-13.25
12,-13,-13.23076923076923
13,-10,-13.0
14,-13,-13.0
15,-12,-12.9375
16,-11,-12.823529411764707
17,-14,-12.88888888888889
18,-13,-12.894736842105264
19,-11,-12.8
20,-12,-12.761904761904763
21,-12,-12.727272727272727
22,-14,-12.782608695652174
23,-11,-12.708333333333334
24,-11,-12.64
25,-13,-12.653846153846153
26,-15,-12.74074074074074
27,-12,-12.714285714285714
28,-15,-12.793103448275861
29,-13,-12.8
30,-8,-12.64516129032258
31,-12,-12.625
32,-15,-12.696969696969697
33,-15,-12.764705882352942
34,-13,-12.771428571428572
35,-13,-12.777777777777779
36,-11,-12.72972972972973
37,-6,-12.552631578947368
38,-13,-12.564102564102564
39,-13,-12.575
40,-13,-12.585365853658537
41,-10,-12.523809523809524
42,-14,-12.55813953488372
43,-13,-12.568181818181818
44,-14,-12.6
45,-11,-12.565217391304348
46,-12,-12.553191489361701
47,-6,-12.416666666666666
48,-14,-12.448979591836734
49,-11,-12.42
50,-14,-12.450980392156863
51,-12,-12.442307692307692
52,-12,-12.433962264150944
53,-14,-12.462962962962964
54,-13,-12.472727272727273
55,-13,-12.482142857142858
56,-12,-12.473684210526315
57,-12,-12.46551724137931
58,-11,-12.440677966101696
59,-12,-12.433333333333334
60,-14,-12.459016393442623
61,-13,-12.46774193548387
62,-11,-12.444444444444445
63,-10,-12.40625
64,-14,-12.430769230769231
65,-13,-12.43939393939394
66,-14,-12.462686567164178
67,-11,-12.441176470588236
68,-10,-12.405797101449275
69,-12,-12.4
70,-14,-12.422535211267606
71,-15,-12.458333333333334
72,-11,-12.438356164383562
73,-14,-12.45945945945946
74,-12,-12.453333333333333
75,-11,-12.43421052631579
76,-12,-12.428571428571429
77,-15,-12.461538461538462
78,-8,-12.405063291139241
79,-9,-12.3625
80,-14,-12.382716049382717
81,-11,-12.365853658536585
82,-11,-12.349397590361447
83,-12,-12.345238095238095
84,-11,-12.329411764705883
85,-12,-12.325581395348838
86,-13,-12.333333333333334
87,-8,-12.284090909090908
88,-12,-12.280898876404494
89,-13,-12.28888888888889
90,-12,-12.285714285714286
91,-10,-12.26086956521739
92,-14,-12.279569892473118
93,-15,-12.308510638297872
94,-8,-12.263157894736842
95,-3,-12.166666666666666
96,-2,-12.061855670103093
97,-13,-12.071428571428571
98,-12,-12.070707070707071
99,-12,-12.07
100,-13,-12.06
101,-13,-12.06
102,-11,-12.05
103,-8,-11.99
104,-12,-11.96
105,-12,-11.95
106,-12,-11.94
107,-13,-11.92
108,-11,-11.91
109,-12,-11.89
110,-11,-11.88
111,-15,-11.91
112,-15,-11.93
113,-13,-11.96
114,-9,-11.92
115,-9,-11.89
116,-12,-11.9
117,-12,-11.88
118,-14,-11.89
119,-12,-11.9
120,-11,-11.89
121,-15,-11.92
122,-13,-11.91
123,-10,-11.9
124,-9,-11.88
125,-13,-11.88
126,-13,-11.86
127,-11,-11.85
128,-12,-11.82
129,-10,-11.79
130,-10,-11.81
131,-11,-11.8
132,-12,-11.77
133,-11,-11.73
134,-13,-11.73
135,-13,-11.73
136,-12,-11.74
137,-13,-11.81
138,-13,-11.81
139,-15,-11.83
140,-15,-11.85
141,-13,-11.88
142,-14,-11.88
143,-11,-11.86
144,-11,-11.83
145,-11,-11.83
146,-13,-11.84
147,-11,-11.89
148,-11,-11.86
149,-11,-11.86
150,-10,-11.82
151,-10,-11.8
152,-5,-11.73
153,-15,-11.74
154,-8,-11.69
155,-14,-11.7
156,-13,-11.71
157,-12,-11.71
158,-12,-11.72
159,-14,-11.74
160,-12,-11.72
161,-12,-11.71
162,-12,-11.72
163,-13,-11.75
164,-14,-11.75
165,-12,-11.74
166,-13,-11.73
167,-11,-11.73
168,-14,-11.77
169,-13,-11.78
170,-9,-11.73
171,-14,-11.72
172,-14,-11.75
173,-10,-11.71
174,-13,-11.72
175,-13,-11.74
176,-12,-11.74
177,-12,-11.71
178,-10,-11.73
179,-13,-11.77
180,-12,-11.75
181,-10,-11.74
182,-12,-11.75
183,-14,-11.77
184,-10,-11.76
185,-8,-11.72
186,-12,-11.71
187,-1,-11.64
188,-13,-11.65
189,-9,-11.61
190,-11,-11.6
191,-11,-11.61
192,-14,-11.61
193,-11,-11.57
194,-12,-11.61
195,-12,-11.7
196,-10,-11.78
197,-12,-11.77
198,-13,-11.78
199,-12,-11.78
200,-10,-11.75
201,-13,-11.75
202,-11,-11.75
203,-14,-11.81
204,-11,-11.8
205,-11,-11.79
206,-14,-11.81
207,-12,-11.8
208,-9,-11.78
209,-15,-11.81
210,0,-11.7
211,-13,-11.68
212,-12,-11.65
213,-10,-11.62
214,-12,-11.65
215,-11,-11.67
216,0,-11.55
217,-15,-11.58
218,-14,-11.58
219,-15,-11.61
220,-13,-11.63
221,-14,-11.62
222,-11,-11.6
223,-12,-11.62
224,-13,-11.66
225,-11,-11.64
226,-11,-11.62
227,-14,-11.65
228,-14,-11.67
229,-14,-11.71
230,-15,-11.76
231,-13,-11.78
232,-14,-11.8
233,-13,-11.82
234,-12,-11.81
235,-12,-11.8
236,-13,-11.81
237,-14,-11.82
238,-14,-11.83
239,-12,-11.8
240,-12,-11.77
241,-10,-11.74
242,-13,-11.73
243,-15,-11.77
244,-13,-11.79
245,-11,-11.79
246,-12,-11.78
247,-9,-11.76
248,-1,-11.66
249,-14,-11.69
250,-12,-11.71
251,-13,-11.74
252,-11,-11.8
253,-15,-11.8
254,-9,-11.81
255,-15,-11.82
256,0,-11.69
257,-13,-11.7
258,-13,-11.71
259,-11,-11.68
260,-12,-11.68
261,-9,-11.65
262,-13,-11.66
263,-13,-11.66
264,-13,-11.65
265,-9,-11.62
266,-9,-11.58
267,-8,-11.55
268,-14,-11.55
269,-13,-11.55
270,-10,-11.56
271,-13,-11.55
272,-11,-11.52
273,-14,-11.56
274,-14,-11.57
275,-12,-11.56
276,-15,-11.59
277,-10,-11.57
278,-5,-11.52
279,-10,-11.49
280,-14,-11.51
281,-12,-11.53
282,-10,-11.51
283,-14,-11.51
284,-13,-11.54
285,-10,-11.56
286,-14,-11.58
287,-13,-11.7
288,-13,-11.7
289,-12,-11.73
290,-14,-11.76
291,-6,-11.71
292,-11,-11.68
293,-14,-11.71
294,-12,-11.71
295,-13,-11.72
296,-11,-11.73
297,-10,-11.71
298,-10,-11.68
299,-13,-11.69
300,-13,-11.72
301,-13,-11.72
302,-11,-11.72
303,-10,-11.68
304,-15,-11.72
305,-8,-11.69
306,-13,-11.68
307,-10,-11.66
308,-10,-11.67
309,-12,-11.64
310,-7,-11.71
311,-12,-11.7
312,-13,-11.71
313,-13,-11.74
314,-13,-11.75
315,-8,-11.72
316,-9,-11.81
317,-13,-11.79
318,-12,-11.77
319,-13,-11.75
320,-10,-11.72
321,-13,-11.71
322,-10,-11.7
323,-10,-11.68
324,-10,-11.65
325,-10,-11.64
326,-12,-11.65
327,-11,-11.62
328,-15,-11.63
329,-13,-11.62
330,-12,-11.59
331,-12,-11.58
332,-13,-11.57
333,-8,-11.52
334,-11,-11.51
335,-11,-11.5
336,-9,-11.46
337,-13,-11.45
338,-12,-11.43
339,-10,-11.41
340,-9,-11.38
341,-13,-11.41
342,-13,-11.41
343,-13,-11.39
344,-12,-11.38
345,-11,-11.38
346,0,-11.26
347,-10,-11.27
348,-11,-11.37
349,-9,-11.32
350,0,-11.2
351,-13,-11.2
352,-11,-11.2
353,-13,-11.18
354,-14,-11.23
355,-11,-11.19
356,-14,-11.33
357,-14,-11.34
358,-12,-11.33
359,-15,-11.37
360,0,-11.25
361,-13,-11.29
362,-12,-11.28
363,0,-11.15
364,-9,-11.11
365,-11,-11.13
366,-14,-11.18
367,-3,-11.13
368,-9,-11.08
369,-12,-11.07
370,-12,-11.09
371,-13,-11.09
372,-14,-11.12
373,-11,-11.09
374,-13,-11.08
375,-14,-11.1
376,-12,-11.07
377,-15,-11.12
378,-14,-11.21
379,-13,-11.24
380,-12,-11.22
381,-10,-11.2
382,-9,-11.19
383,0,-11.05
384,-14,-11.06
385,-14,-11.1
386,-12,-11.08
387,-5,-11.0
388,-13,-11.0
389,-12,-11.0
390,-14,-11.0
391,-13,-11.07
392,-11,-11.07
393,-13,-11.06
394,-11,-11.05
395,-9,-11.01
396,-2,-10.92
397,-14,-10.96
398,-13,-10.99
399,-12,-10.98
400,-9,-10.94
401,-11,-10.92
402,-12,-10.93
403,-12,-10.95
404,-11,-10.91
405,-10,-10.93
406,-12,-10.92
407,-10,-10.92
408,-11,-10.93
409,-10,-10.91
410,-6,-10.9
411,-12,-10.9
412,-12,-10.89
413,-13,-10.89
414,-14,-10.9
415,-8,-10.9
416,-11,-10.92
417,-13,-10.92
418,-11,-10.91
419,-13,-10.91
420,-13,-10.94
421,-11,-10.92
422,0,-10.82
423,-13,-10.85
424,-10,-10.85
425,-13,-10.88
426,-8,-10.84
427,-10,-10.83
428,-6,-10.74
429,-14,-10.75
430,0,-10.63
431,-14,-10.65
432,-12,-10.64
433,-12,-10.68
434,-15,-10.72
435,-11,-10.72
436,-12,-10.75
437,-9,-10.71
438,-15,-10.74
439,-14,-10.78
440,-11,-10.8
441,-11,-10.78
442,-14,-10.79
443,-14,-10.8
444,-10,-10.78
445,-12,-10.79
446,-11,-10.9
447,-14,-10.94
448,-2,-10.85
449,-8,-10.84
450,-14,-10.98
451,-14,-10.99
452,-15,-11.03
453,-13,-11.03
454,-9,-10.98
455,-10,-10.97
456,-13,-10.96
457,-11,-10.93
458,-10,-10.91
459,-8,-10.84
460,-9,-10.93
461,-8,-10.88
462,-10,-10.86
463,-12,-10.98
464,-11,-11.0
465,-5,-10.94
466,-13,-10.93
467,-8,-10.98
468,-11,-11.0
469,-5,-10.93
470,-10,-10.91
471,-11,-10.89
472,-10,-10.85
473,-14,-10.88
474,-15,-10.9
475,-12,-10.88
476,-11,-10.87
477,-11,-10.83
478,-11,-10.8
479,-12,-10.79
480,-9,-10.76
481,-10,-10.76
482,-11,-10.78
483,-10,-10.88
484,-11,-10.85
485,-11,-10.82
486,-7,-10.77
487,-13,-10.85
488,-8,-10.8
489,-12,-10.8
490,-13,-10.79
491,-14,-10.8
492,-12,-10.81
493,-10,-10.78
494,-11,-10.78
495,-12,-10.81
496,-10,-10.89
497,-10,-10.85
498,-9,-10.81
499,-10,-10.79
500,-4,-10.74
501,-3,-10.66
502,-12,-10.66
503,-14,-10.68
504,-15,-10.72
505,-12,-10.74
506,-10,-10.72
507,-2,-10.64
508,-7,-10.6
509,-10,-10.6
510,-11,-10.65
511,-6,-10.59
512,-13,-10.6
513,-12,-10.59
514,-7,-10.52
515,-10,-10.54
516,-8,-10.51
517,-14,-10.52
518,-9,-10.5
519,-15,-10.52
520,-12,-10.51
521,-13,-10.53
522,-13,-10.66
523,-8,-10.61
524,-9,-10.6
525,-12,-10.59
526,-12,-10.63
527,-12,-10.65
528,-9,-10.68
529,-13,-10.67
530,-11,-10.78
531,-14,-10.78
532,-12,-10.78
533,-10,-10.76
534,-14,-10.75
535,-13,-10.77
536,-5,-10.7
537,-11,-10.72
538,-14,-10.71
539,-12,-10.69
540,-9,-10.67
541,-14,-10.7
542,0,-10.56
543,-13,-10.55
544,-10,-10.55
545,-12,-10.55
546,-11,-10.55
547,-7,-10.48
548,-11,-10.57
549,-9,-10.58
550,-13,-10.57
551,-7,-10.5
552,-12,-10.47
553,-10,-10.44
554,-13,-10.48
555,-3,-10.41
556,-9,-10.37
557,-14,-10.4
558,-10,-10.4
559,-14,-10.46
560,-11,-10.48
561,-11,-10.51
562,0,-10.41
563,0,-10.29
564,-12,-10.3
565,-13,-10.38
566,-9,-10.34
567,0,-10.26
568,-14,-10.29
569,-13,-10.37
570,-9,-10.36
571,-11,-10.36
572,-11,-10.37
573,-11,-10.34
574,-12,-10.31
575,-15,-10.34
576,-9,-10.32
577,-13,-10.34
578,0,-10.23
579,-14,-10.25
580,-12,-10.28
581,-15,-10.33
582,-12,-10.34
583,-11,-10.35
584,-9,-10.33
585,-6,-10.28
586,-10,-10.31
587,-13,-10.31
588,-7,-10.3
589,-12,-10.3
590,-10,-10.27
591,-13,-10.26
592,-10,-10.24
593,-12,-10.26
594,-9,-10.24
595,-12,-10.24
596,0,-10.14
597,-9,-10.13
598,-14,-10.18
599,-2,-10.1
600,-10,-10.16
601,-12,-10.25
602,-8,-10.21
603,-9,-10.16
604,-9,-10.1
605,-11,-10.09
606,-13,-10.12
607,-12,-10.22
608,-12,-10.27
609,-11,-10.28
610,-12,-10.29
611,-9,-10.32
612,-12,-10.31
613,-11,-10.3
614,-10,-10.33
615,-14,-10.37
616,-13,-10.42
617,-11,-10.39
618,-13,-10.43
619,-13,-10.41
620,-7,-10.36
621,0,-10.23
622,-14,-10.24
623,-7,-10.23
624,0,-10.14
625,-9,-10.11
626,-7,-10.06
627,-6,-10.0
628,-9,-10.0
629,-9,-9.96
630,0,-9.85
631,-12,-9.83
632,-11,-9.82
633,-9,-9.81
634,-12,-9.79
635,-12,-9.78
636,-7,-9.8
637,-8,-9.77
638,-9,-9.72
639,-11,-9.71
640,-11,-9.73
641,-8,-9.67
642,-10,-9.77
643,-8,-9.72
644,-13,-9.75
645,-9,-9.72
646,-13,-9.74
647,-9,-9.76
648,-12,-9.77
649,-12,-9.8
650,-12,-9.79
651,-10,-9.82
652,-13,-9.83
653,-12,-9.85
654,-15,-9.87
655,-10,-9.94
656,-9,-9.94
657,-15,-9.95
658,-9,-9.94
659,-9,-9.89
660,-15,-9.93
661,-12,-9.94
662,-12,-10.06
663,-10,-10.16
664,-14,-10.18
665,-14,-10.19
666,-13,-10.23
667,-10,-10.33
668,-13,-10.32
669,-11,-10.3
670,-10,-10.31
671,0,-10.2
672,-9,-10.18
673,-10,-10.17
674,0,-10.05
675,-9,-9.99
676,-8,-9.98
677,-8,-9.93
678,-10,-10.03
679,-11,-10.0
680,-11,-9.99
681,-9,-9.93
682,-13,-9.94
683,-9,-9.92
684,-9,-9.92
685,-10,-9.96
686,-10,-9.96
687,-12,-9.95
688,-10,-9.98
689,-12,-9.98
690,-10,-9.98
691,-11,-9.96
692,-9,-9.95
693,-12,-9.95
694,-9,-9.95
695,-12,-9.95
696,-11,-10.06
697,0,-9.97
698,-11,-9.94
699,-10,-10.02
700,-10,-10.02
701,-10,-10.0
702,-13,-10.05
703,-7,-10.03
704,-11,-10.05
705,-11,-10.05
706,-3,-9.95
707,-10,-9.93
708,-10,-9.91
709,-11,-9.91
710,-9,-9.88
711,-12,-9.91
712,-11,-9.9
713,-11,-9.9
714,-10,-9.9
715,-9,-9.85
716,-8,-9.8
717,-13,-9.82
718,-10,-9.79
719,-11,-9.77
720,-9,-9.79
721,0,-9.79
722,-10,-9.75
723,-13,-9.81
724,-9,-9.9
725,-7,-9.88
726,-13,-9.94
727,-11,-9.99
728,0,-9.9
729,-10,-9.91
730,-13,-10.04
731,-12,-10.04
732,-6,-9.99
733,-10,-10.0
734,-9,-9.97
735,-1,-9.86
736,-13,-9.92
737,-14,-9.98
738,-10,-9.99
739,-6,-9.94
740,-6,-9.89
741,-10,-9.91
742,-13,-9.94
743,-9,-9.95
744,-8,-9.9
745,-6,-9.87
746,-9,-9.83
747,0,-9.74
748,-9,-9.71
749,-13,-9.72
750,-11,-9.71
751,-3,-9.64
752,-8,-9.59
753,-12,-9.59
754,-11,-9.55
755,-11,-9.56
756,-9,-9.56
757,-12,-9.53
758,-10,-9.54
759,-9,-9.54
760,-14,-9.53
761,-7,-9.48
762,-10,-9.46
763,-11,-9.47
764,-10,-9.43
765,-11,-9.4
766,-12,-9.39
767,-8,-9.37
768,-10,-9.34
769,-11,-9.34
770,-11,-9.35
771,-13,-9.48
772,-9,-9.48
773,-8,-9.46
774,0,-9.46
775,-9,-9.46
776,-10,-9.48
777,-9,-9.49
778,0,-9.39
779,-13,-9.41
780,0,-9.3
781,-7,-9.28
782,-12,-9.27
783,-13,-9.31
784,-12,-9.34
785,-9,-9.33
786,-12,-9.35
787,-3,-9.26
788,-13,-9.29
789,-10,-9.27
790,-9,-9.26
791,-3,-9.18
792,-13,-9.22
