,Rewards,Average reward
0,-10,-10.0
1,-8,-9.0
2,-14,-10.666666666666666
3,-14,-11.5
4,-14,-12.0
5,0,-10.0
6,-11,-10.142857142857142
7,-14,-10.625
8,-13,-10.88888888888889
9,-13,-11.1
10,-13,-11.272727272727273
11,-10,-11.166666666666666
12,-12,-11.23076923076923
13,-12,-11.285714285714286
14,-13,-11.4
15,-11,-11.375
16,-13,-11.470588235294118
17,-15,-11.666666666666666
18,-12,-11.68421052631579
19,-12,-11.7
20,-9,-11.571428571428571
21,-13,-11.636363636363637
22,-14,-11.73913043478261
23,-11,-11.708333333333334
24,-14,-11.8
25,-10,-11.73076923076923
26,-11,-11.703703703703704
27,-15,-11.821428571428571
28,-14,-11.89655172413793
29,-9,-11.8
30,-14,-11.870967741935484
31,-12,-11.875
32,-6,-11.696969696969697
33,-14,-11.764705882352942
34,-10,-11.714285714285714
35,-11,-11.694444444444445
36,-12,-11.702702702702704
37,-14,-11.763157894736842
38,-11,-11.743589743589743
39,-13,-11.775
40,-13,-11.804878048780488
41,-13,-11.833333333333334
42,-12,-11.837209302325581
43,-9,-11.772727272727273
44,-13,-11.8
45,-13,-11.826086956521738
46,-14,-11.872340425531915
47,-14,-11.916666666666666
48,-14,-11.959183673469388
49,-11,-11.94
50,-12,-11.941176470588236
51,-8,-11.865384615384615
52,-14,-11.90566037735849
53,-10,-11.87037037037037
54,-9,-11.818181818181818
55,-11,-11.803571428571429
56,-14,-11.842105263157896
57,-5,-11.724137931034482
58,-11,-11.711864406779661
59,-14,-11.75
60,-12,-11.754098360655737
61,-2,-11.596774193548388
62,-14,-11.634920634920634
63,-12,-11.640625
64,-14,-11.676923076923076
65,-13,-11.696969696969697
66,-14,-11.73134328358209
67,-12,-11.735294117647058
68,-10,-11.710144927536232
69,-14,-11.742857142857142
70,-13,-11.76056338028169
71,-13,-11.777777777777779
72,-9,-11.73972602739726
73,-13,-11.756756756756756
74,-12,-11.76
75,-13,-11.776315789473685
76,-13,-11.792207792207792
77,-9,-11.756410256410257
78,0,-11.60759493670886
79,-14,-11.6375
80,-11,-11.62962962962963
81,-11,-11.621951219512194
82,-14,-11.650602409638553
83,-11,-11.642857142857142
84,-12,-11.647058823529411
85,-12,-11.651162790697674
86,-12,-11.655172413793103
87,-14,-11.681818181818182
88,-12,-11.685393258426966
89,-14,-11.71111111111111
90,-15,-11.747252747252746
91,-12,-11.75
92,-15,-11.78494623655914
93,-15,-11.819148936170214
94,-12,-11.821052631578947
95,-12,-11.822916666666666
96,-15,-11.855670103092784
97,-14,-11.877551020408163
98,-14,-11.8989898989899
99,-15,-11.93
100,-13,-11.96
101,-14,-12.02
102,-14,-12.02
103,-13,-12.01
104,-13,-12.0
105,-14,-12.14
106,-13,-12.16
107,0,-12.02
108,-13,-12.02
109,-14,-12.03
110,-14,-12.04
111,-13,-12.07
112,-14,-12.09
113,-13,-12.1
114,-13,-12.1
115,-12,-12.11
116,-13,-12.11
117,-14,-12.1
118,-10,-12.08
119,-13,-12.09
